Emotions,Path
neutral,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-01-01-01-01-01.wav
neutral,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-01-01-01-02-01.wav
neutral,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-01-01-02-01-01.wav
neutral,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-01-01-02-02-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-01-01-01-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-01-01-02-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-01-02-01-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-01-02-02-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-02-01-01-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-02-01-02-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-02-02-01-01.wav
calm,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-02-02-02-02-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-01-01-01-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-01-01-02-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-01-02-01-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-01-02-02-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-02-01-01-01.wav
happy,D:/Schmiede/Coding/IIS_Seminar/emotion-detection-and-reaction/SER/data/Ravdess/Actor_01/03-01-03-02-01-02-01.wav
